x,y,z,vll_gwc,vll_gsc,fll_gsc,nn_gsc,nn_gwc,m
68522,59000,53934,0,0,0,0,0,50
69031,60028,54869,0,0,0,0,0,50
67636,59523,54531,0,0,0,0,0,50
66680,56592,54068,0,0,0,0,0,50
67424,57404,53911,0,0,0,0,0,50
68517,59067,53968,0,0,0,0,0,50
66759,59971,54933,0,0,0,0,0,50
67628,58026,54741,0,0,0,0,0,50
67357,59664,54004,0,0,0,0,0,50
68151,59007,54009,0,0,0,0,0,50
67311,56930,54172,0,0,0,0,0,50
66637,59812,54715,0,0,0,0,0,50
68535,59854,53144,0,0,0,0,0,50
68269,60809,54341,0,0,0,0,0,50
67724,60284,53604,0,0,0,0,0,50
68656,59075,53769,0,0,0,0,0,50
68111,59532,53992,0,0,0,0,0,50
68579,58618,54243,0,0,0,0,0,50
67419,60176,54399,0,0,0,0,0,50
68416,58491,54334,0,0,0,0,0,50
69080,59562,53100,0,0,0,0,0,50
69135,58546,54556,0,0,0,0,0,50
68689,59138,54013,0,0,0,0,0,50
66492,59945,53941,0,0,0,0,0,50
68469,59042,53957,0,0,0,0,0,50
67847,60221,54888,0,0,0,0,0,50
69060,57906,53890,0,0,0,0,0,50
66649,60694,54756,0,0,0,0,0,50
66934,57150,54195,0,0,0,0,0,50
69031,58672,53982,0,0,0,0,0,50
67696,58230,54269,0,0,0,0,0,50
68620,59101,53772,0,0,0,0,0,50
68004,60085,54079,0,0,0,0,0,50
67926,60603,54605,0,0,0,0,0,50
68599,59111,54002,0,0,0,0,0,50
69287,58719,53098,0,0,0,0,0,50
66596,59917,53833,0,0,0,0,0,50
67455,56670,54093,0,0,0,0,0,50
68237,60138,54471,0,0,0,0,0,50
68744,58639,53989,0,0,0,0,0,50
68879,58844,53791,0,0,0,0,0,50
68681,58946,53338,0,0,0,0,0,50
68004,57611,54144,0,0,0,0,0,50
68308,59144,53422,0,0,0,0,0,50
66917,60140,54056,0,0,0,0,0,50
67253,60086,54440,0,0,0,0,0,50
67928,59228,54500,0,0,0,0,0,50
67185,60218,54508,0,0,0,0,0,50
67815,58867,54515,0,0,0,0,0,50
